1,198757
2,31539
3,14028
4,12282
5,11660
1029,1
6,10639
7,10760
8,9898
9,7507
10,5629
11,3805
12,3256
13,2501
14,1723
15,1424
16,1358
17,1086
18,702
19,755
20,509
21,424
22,344
23,267
1047,1
24,260
25,197
26,227
27,191
28,194
29,171
30,150
31,146
32,105
33,94
34,92
35,88
36,80
1061,1
37,66
38,61
39,68
1063,2
40,64
41,50
42,52
43,49
44,31
45,39
46,17
47,31
48,25
49,31
50,31
51,21
1076,1
52,22
53,22
54,15
1078,1
55,16
56,21
57,14
58,16
59,6
60,14
61,9
62,5
63,15
64,11
65,8
66,10
67,6
68,12
69,7
70,2
71,4
1096,1
72,5
73,8
74,4
75,10
76,4
77,7
78,5
79,5
80,5
81,7
82,3
83,5
84,2
1109,1
86,1
87,1
88,2
89,2
90,1
91,4
92,2
93,2
1117,1
94,4
95,4
96,3
97,4
98,5
100,1
101,3
102,2
103,5
104,1
105,1
107,2
108,2
109,1
110,2
111,2
112,3
113,2
114,3
115,3
116,2
117,1
118,3
119,3
120,2
121,2
122,3
123,2
125,2
127,6
128,1
129,2
130,2
131,4
132,3
133,2
134,2
135,2
136,5
137,2
138,3
139,2
140,1
142,2
143,2
145,1
146,1
147,5
148,1
151,1
152,4
153,1
154,1
155,2
156,3
157,1
158,1
159,2
160,3
161,1
162,2
1187,1
163,2
164,2
165,3
166,1
168,3
169,1
170,1
171,2
172,1
173,3
174,1
175,2
177,1
178,1
179,4
180,2
181,6
182,1
183,3
184,4
185,4
186,2
187,3
188,2
189,5
190,4
1214,1
191,1
192,7
193,3
194,1
1219,1
195,3
196,5
197,3
198,3
199,2
200,2
201,2
202,3
203,3
204,6
205,6
206,2
207,5
208,3
209,3
210,4
211,5
212,3
1237,1
213,4
214,4
215,2
216,4
217,2
218,2
219,3
220,4
221,7
222,3
223,5
224,2
225,5
226,3
227,3
228,1
229,3
230,4
231,4
232,7
233,4
234,1
235,5
236,3
237,4
238,3
239,3
240,3
241,4
242,2
243,2
244,6
245,2
246,3
247,4
248,2
250,3
251,3
252,2
253,5
254,6
255,2
256,7
257,6
258,5
259,4
260,5
261,3
262,2
263,2
264,2
265,9
266,7
268,9
269,2
270,3
271,7
272,3
273,2
274,3
275,6
276,4
277,4
278,5
279,1
280,3
281,6
282,3
283,4
284,3
285,4
286,3
287,3
288,6
289,6
290,6
291,4
292,9
293,3
294,2
295,3
296,5
297,3
298,3
299,7
300,3
301,2
302,7
303,8
304,5
305,4
306,5
307,6
308,6
309,4
310,3
311,3
312,2
313,4
314,5
315,1
316,4
317,6
318,2
319,6
320,3
321,6
322,7
323,4
324,4
325,6
326,3
327,4
328,4
329,10
330,8
332,3
333,3
334,6
335,4
336,4
337,5
338,5
339,1
340,4
341,6
342,1
343,2
344,5
345,4
346,4
347,6
348,4
349,4
350,3
351,3
352,5
353,4
354,9
355,4
356,2
358,4
359,5
360,4
361,4
362,3
363,1
364,6
365,7
366,8
367,1
368,5
369,3
370,2
371,3
372,3
373,2
374,3
375,5
376,4
377,3
378,2
379,4
380,4
382,6
383,2
384,4
385,5
386,3
387,5
388,2
389,2
390,3
391,6
392,4
393,5
394,5
395,4
396,3
397,4
398,3
399,1
400,6
401,4
402,4
403,1
404,3
405,4
406,3
407,1
408,3
409,5
410,3
411,3
412,3
413,3
414,3
415,3
416,4
417,1
418,4
419,3
420,1
421,7
422,1
423,2
424,4
425,2
426,3
427,6
428,2
429,1
430,2
431,2
432,2
433,3
434,5
435,3
436,6
437,4
438,2
439,3
440,4
441,3
442,2
443,3
444,3
445,5
446,7
447,6
448,2
449,3
450,1
451,1
452,2
453,2
454,6
455,2
456,3
457,1
458,4
459,5
460,6
461,3
462,4
463,1
464,1
465,4
467,3
468,1
469,5
470,1
471,6
472,2
473,2
474,3
475,2
476,1
477,1
478,3
479,2
480,2
483,2
484,1
485,4
486,1
487,6
489,2
490,2
491,5
492,2
493,4
494,1
495,5
497,5
498,3
499,3
500,2
501,2
504,3
505,2
507,4
508,2
509,1
510,2
511,2
512,1
513,3
514,2
515,1
516,5
517,5
519,2
521,2
523,2
524,1
525,3
526,3
527,4
528,1
529,1
530,2
531,1
532,2
533,2
534,2
535,1
536,2
537,1
538,2
541,4
542,2
543,5
544,3
546,2
548,1
549,3
550,1
553,2
554,2
556,1
557,2
559,3
561,5
562,2
563,1
566,1
567,2
568,4
569,3
570,2
571,2
572,5
573,2
574,1
576,2
577,1
578,2
579,2
580,2
581,5
583,2
584,3
585,2
586,1
587,2
589,2
590,1
591,3
592,1
593,2
594,2
595,2
596,1
600,2
601,2
602,3
603,2
604,2
605,1
606,1
607,3
608,2
609,3
611,2
612,1
616,1
617,1
618,1
620,3
621,1
622,1
623,1
624,1
626,2
628,1
630,1
631,1
632,1
633,3
634,1
635,2
636,1
640,1
641,2
643,1
645,2
647,1
648,1
649,2
650,1
652,1
653,1
655,1
656,1
658,1
659,1
660,2
663,1
664,2
665,1
666,1
670,1
677,2
678,1
680,1
682,3
684,1
688,1
691,1
698,2
701,3
704,1
706,1
710,2
711,1
713,3
715,2
718,1
719,1
720,1
722,1
724,1
728,1
732,1
733,1
737,1
739,1
740,1
741,1
743,1
745,1
747,1
748,1
753,2
759,3
764,1
767,1
770,1
776,1
782,1
783,1
785,2
790,1
791,1
799,2
800,1
802,2
805,1
812,1
816,2
821,1
825,1
826,2
829,1
831,1
839,1
850,1
852,1
859,1
860,1
866,1
886,1
887,1
888,1
891,1
898,1
899,1
906,1
908,1
916,1
924,1
934,1
939,1
944,1
945,1
953,1
965,1
979,1
983,1
984,2
989,1
992,1
993,1
1023,1
